interface_mac_table,interface,vlan,mac address,address,description
Po18, Vlan507,507,0050.569f.3a2a, 10.110.7.163,PORTCHANNEL 2 FLEX
Po18, Vlan504,504,6cae.8b2d.d3c0, 10.110.4.120,PORTCHANNEL 2 FLEX
Po39,,401,0050.56bf.1648,,TO_4500X-ZAM
Po18, Vlan506,506,0050.569f.2f54, 10.110.6.220,PORTCHANNEL 2 FLEX
Po39,,401,0050.56bf.705d,,TO_4500X-ZAM
Po3, Vlan504,504,74fe.4808.b5be, 10.110.4.93,"""TO TOR_3850"""
Po18, Vlan506,506,0050.569f.2f49, 10.110.6.120,PORTCHANNEL 2 FLEX
Po3, Vlan504,504,3440.b5a7.06e7, 10.110.4.158,"""TO TOR_3850"""
Router, Vlan949 GigabitEthernet1/4/38 Vlan205 Vlan23 GigabitEthernet2/4/11 Vlan202 GigabitEthernet1/3/9 Vlan201 Vlan203 Vlan1102 Vlan204 Vlan1101 Vlan1200 Vlan400 Vlan503 Vlan504 Vlan505 Vlan506 Vlan507 Vlan508 Vlan509 Vlan510 Vlan512 Vlan591 Vlan514 Vlan207 Vlan586 Vlan582 Vlan584 Vlan1100 Vlan300 Vlan301 Vlan304 Vlan305 Vlan19 GigabitEthernet1/4/24 Vlan3 Vlan4 Vlan5 Vlan6 Vlan41 Vlan7 Vlan8 Vlan160 Vlan180 Vlan468 Vlan851 Vlan852 Vlan398 Vlan800 Vlan2 Vlan145 Vlan1,558,64a0.e7b3.d800, 1.1.1.3 1.1.8.1 1.50.0.17 1.50.0.25 1.51.0.10 10.10.1.254 10.110.0.2 10.110.0.14 10.110.0.17 10.110.0.29 10.110.0.33 10.110.0.49 10.110.0.62 10.110.1.1 10.110.3.253 10.110.4.254 10.110.5.254 10.110.6.254 10.110.7.254 10.110.8.254 10.110.9.254 10.110.10.254 10.110.12.254 10.110.13.94 10.110.14.254 10.110.21.1 10.110.64.3 10.110.66.253 10.110.68.6 10.158.251.3 10.241.4.11 10.241.5.11 10.241.8.11 10.241.9.11 10.241.10.129 10.241.11.34 10.241.12.1 10.241.12.129 10.241.13.1 10.241.13.129 10.241.14.129 10.241.15.1 10.241.15.129 10.241.16.11 10.241.18.11 10.241.22.250 100.100.100.1 100.100.110.1 192.168.1.100 192.168.10.254 192.168.144.11 192.168.145.11 192.168.254.1,
Po18, Vlan510,510,0050.569f.3d5c, 10.110.10.234,PORTCHANNEL 2 FLEX
Po18, Vlan503,503,0050.569f.4f8c, 10.110.3.190,PORTCHANNEL 2 FLEX
Po37,,650,001b.1700.0131,,TO_PA-3020-01-ZAM-LAN-3850
Po18, Vlan507,507,0050.569f.1be1, 10.110.7.185,PORTCHANNEL 2 FLEX
Po18, Vlan506,506,0050.569f.1f97, 10.110.6.19,PORTCHANNEL 2 FLEX
